Sigma_1,Sigma_2,Corr_Coeff,Rel_Error
0.5,0.5,0.0,0.023522752920241974
0.5,0.5,0.0,0.008531196876026275
0.5,0.5,0.0,0.012149229965099295
0.5,0.5,0.0,0.017218573657608843
0.5,0.5,0.0,0.02531230408468522
0.5,0.5,0.0,0.021606279220609155
0.5,0.5,0.0,0.0491829758561141
0.5,0.5,0.0,0.021901374813691043
0.5,0.5,0.0,0.017558857762737527
0.5,0.5,0.0,0.030099104486831986
0.5,0.5,0.0,0.0395962707018721
0.5,0.5,0.0,0.025685471096004015
0.5,0.5,0.0,0.04687559606262901
0.5,0.5,0.0,0.015105324452241501
0.5,0.5,0.0,0.021149305773886493
0.5,0.5,0.0,0.025192593816280303
0.5,0.5,0.0,0.08492219243171921
0.5,0.5,0.0,0.0362814675862623
0.5,0.5,0.0,0.02283633501778379
0.5,0.5,0.0,0.0075592699748585485
0.5,0.5,0.0,0.016365133131854708
0.5,0.5,0.0,0.014886368402990471
0.5,0.5,0.0,0.046558337563066134
0.5,0.5,0.0,0.023965987555144487
0.5,0.5,0.0,0.014090431891875258
1.0,0.5,0.0,0.01663503437358452
1.0,0.5,0.0,0.005996042036783031
1.0,0.5,0.0,0.017258714433438866
1.0,0.5,0.0,0.0029131940232913493
1.0,0.5,0.0,0.006591807369476657
1.0,0.5,0.0,0.00829195985695593
1.0,0.5,0.0,0.007703817284138606
1.0,0.5,0.0,0.0035332408895215224
1.0,0.5,0.0,0.008453211596705729
1.0,0.5,0.0,0.0032617818467651077
1.0,0.5,0.0,0.006105662185728257
1.0,0.5,0.0,0.004173229604199444
1.0,0.5,0.0,0.004798051267471483
1.0,0.5,0.0,0.007362518183536852
1.0,0.5,0.0,0.00921549346114434
1.0,0.5,0.0,0.00651498219374337
1.0,0.5,0.0,0.008982796946375063
1.0,0.5,0.0,0.003905731888154273
1.0,0.5,0.0,0.008471643973605829
1.0,0.5,0.0,0.004002467614949191
1.0,0.5,0.0,0.010868998134595926
1.0,0.5,0.0,0.008937448002037138
1.0,0.5,0.0,0.010646238242901505
1.0,0.5,0.0,0.006837472313142191
1.0,0.5,0.0,0.029598555365882673
2.0,0.5,0.0,0.04555760706529954
2.0,0.5,0.0,0.007902067249386312
2.0,0.5,0.0,0.007932812298709868
2.0,0.5,0.0,0.03114863926104615
2.0,0.5,0.0,0.021254954659944647
2.0,0.5,0.0,0.03005222823377079
2.0,0.5,0.0,0.011944578406297065
2.0,0.5,0.0,0.017387138359745577
2.0,0.5,0.0,0.019437222471632952
2.0,0.5,0.0,0.04064986676533478
2.0,0.5,0.0,0.05652639736339491
2.0,0.5,0.0,0.014834093273567895
2.0,0.5,0.0,0.011415913594609688
2.0,0.5,0.0,0.005923195922249797
2.0,0.5,0.0,0.010553707174413628
2.0,0.5,0.0,0.01547691463783952
2.0,0.5,0.0,0.015394370130287889
2.0,0.5,0.0,0.010210474182918636
2.0,0.5,0.0,0.014180319839516677
2.0,0.5,0.0,0.044158307437374145
2.0,0.5,0.0,0.005755064476834707
2.0,0.5,0.0,0.004495619618973532
2.0,0.5,0.0,0.03144875081788705
2.0,0.5,0.0,0.008771075190342922
2.0,0.5,0.0,0.016930578664214588
3.0,0.5,0.0,0.04984590042195452
3.0,0.5,0.0,0.45486689352206894
3.0,0.5,0.0,0.10010780803895959
3.0,0.5,0.0,0.9999853004632872
3.0,0.5,0.0,0.06926747978198759
3.0,0.5,0.0,0.9996880511042437
3.0,0.5,0.0,0.17243614439622496
3.0,0.5,0.0,0.2459225971070445
3.0,0.5,0.0,0.9998938969024908
3.0,0.5,0.0,0.9995116762951041
3.0,0.5,0.0,0.9999935523639097
3.0,0.5,0.0,0.9990840924665108
3.0,0.5,0.0,0.25191711220827256
3.0,0.5,0.0,0.9999351893231373
3.0,0.5,0.0,0.06862093984522324
